"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2001","2001","EUR","Euro","6","Millions","2010","2010",257139.07,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2002","2002","EUR","Euro","6","Millions","2010","2010",261396.92,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2003","2003","EUR","Euro","6","Millions","2010","2010",263373.49,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2004","2004","EUR","Euro","6","Millions","2010","2010",270499.7,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2005","2005","EUR","Euro","6","Millions","2010","2010",276290.24,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2006","2006","EUR","Euro","6","Millions","2010","2010",285548.26,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2007","2007","EUR","Euro","6","Millions","2010","2010",295889.42,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2008","2008","EUR","Euro","6","Millions","2010","2010",300467.61,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2009","2009","EUR","Euro","6","Millions","2010","2010",289052.62,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2010","2010","EUR","Euro","6","Millions","2010","2010",294627.5,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2011","2011","EUR","Euro","6","Millions","2010","2010",302900.64,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2012","2012","EUR","Euro","6","Millions","2010","2010",305159.54,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2013","2013","EUR","Euro","6","Millions","2010","2010",305538.62,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2014","2014","EUR","Euro","6","Millions","2010","2010",307508.87,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2015","2015","EUR","Euro","6","Millions","2010","2010",310470.36,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,171007.4708,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,179151.581,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,188122.7702,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,193753.1887,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,204194.2751,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,211616,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,215942,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,225969,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,234490,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,244226,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,258222,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,265788,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,275065,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,282637,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,298711,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,311481,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,326662,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,344713,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,354066,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,348781,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,365101,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,379106,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,387447,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,392675,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,400408,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,409407,,
